id,label,indegree,outdegree,degree,modularity_class,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,clustering
97,2557794,30,16,46,1,240,130,370,5,0.387122417,0.420944559,2978.237464,0.007195936,0.172348484
115,12167536,21,35,56,1,135,258,393,6,0.418025751,0.464339493,3895.052386,0.003665026,0.142307699
121,13689186,5,7,12,3,47,88,135,6,0.359940872,0.38908282,254.0048753,0.001211056,0.388888896
167,12987552,11,7,18,1,98,46,144,5,0.345145287,0.371526352,1486.201015,0.002951607,0.128205135
390,12904370,10,11,21,1,69,84,153,5,0.345390071,0.375393566,542.8875223,0.002871806,0.090909094
523,12959836,25,20,45,3,193,168,361,6,0.387122417,0.427446954,2228.834767,0.00499803,0.079569891
736,12648894,9,5,14,1,70,32,102,5,0.335168617,0.360540726,399.9754221,0.002008281,0.288888901
751,4537118,19,16,35,5,158,117,275,6,0.35111752,0.384394251,3487.059823,0.003354986,0.002380952
845,13082180,47,26,73,5,441,201,642,6,0.37810559,0.418206708,3137.86999,0.007206484,0.132653058
856,13001364,4,6,10,3,51,47,98,6,0.329276538,0.352258727,19.39475522,6.88E-04,0.357142866
1086,3668325,30,19,49,5,258,161,419,6,0.385589865,0.425804244,2523.806177,0.006029809,0.160037875
1473,13638237,5,5,10,3,50,66,116,6,0.339846476,0.365331964,61.66731614,0.001281598,0.100000001
1647,13592210,18,13,31,5,190,162,352,6,0.366716867,0.403867214,560.6087438,0.003544151,0.128571436
1720,14484641,37,33,70,5,416,376,792,6,0.376061776,0.421697467,3232.195986,0.00635724,0.111498259
1853,12955484,21,11,32,1,171,78,249,6,0.353924419,0.382683094,1238.714804,0.004582959,0.146245062
1860,13194437,72,30,102,3,674,218,892,6,0.39465154,0.439527721,5455.1075,0.011529056,0.085414588
2101,14023499,12,11,23,5,140,175,315,6,0.363704257,0.397364819,536.7012086,0.002498897,0.174242422
2115,10199884,11,19,30,3,87,120,207,6,0.366716867,0.402224504,1736.686629,0.001874819,0.013157895
2174,3936612,5,8,13,1,53,69,122,6,0.341994382,0.367522245,154.1276988,0.001155052,0.214285716
2230,708445,50,59,109,1,525,584,1109,6,0.450092421,0.50752909,11838.25737,0.00823772,0.137401223
2437,10153548,30,13,43,1,287,112,399,6,0.346372688,0.377789185,3053.863146,0.007827509,0.078598484
2558,10365656,86,73,159,1,1015,777,1792,5,0.457706767,0.52128679,26113.56627,0.015187535,0.044622853
2608,13987633,10,19,29,4,61,166,227,6,0.377812258,0.416255989,2229.316124,0.002554243,0.081578948
2770,1808791,12,20,32,3,87,148,235,6,0.393058918,0.429945243,1471.103075,0.001989086,0.194736838
2853,14474896,13,14,27,5,132,148,280,6,0.372894334,0.408521561,668.5010533,0.002441894,0.345833331
3217,13216773,28,20,48,3,255,119,374,6,0.3896,0.426625599,2306.350423,0.004198584,0.129233509
3252,14349473,9,8,17,3,108,79,187,6,0.35111752,0.380424367,102.3984792,0.001685636,0.518181801
3258,13465533,6,12,18,5,61,127,188,6,0.372324159,0.406125941,208.0148746,0.00126047,0.247252747
3267,13596302,8,13,21,3,60,103,163,6,0.359409594,0.390041068,819.923405,0.001418919,0.219780222
3470,13075354,8,9,17,1,54,72,126,6,0.309402795,0.334599589,333.0198651,0.002045418,0.145454541
3653,4809593,9,22,31,3,61,195,256,6,0.369779803,0.40752909,1181.848901,0.002221528,0.076086953
3750,13124553,7,7,14,1,44,46,90,6,0.353667393,0.382340862,242.9165205,0.001311277,0.222222224
3781,14347486,9,8,17,3,71,89,160,7,0.331518039,0.361142075,338.7650644,0.001882334,0.277777791
3855,3776737,7,8,15,5,70,75,145,6,0.354697742,0.383196441,421.248532,0.001992775,0.107142858
4008,13194120,31,29,60,5,354,305,659,5,0.408214585,0.450205339,2469.306711,0.004793263,0.132890359
4165,13562160,18,20,38,3,161,171,332,6,0.382861635,0.4224846,2591.471429,0.002786477,0.071428575
4185,4760480,14,26,40,5,89,234,323,6,0.40993266,0.451916496,1059.07436,0.002308225,0.142857149
4330,13042053,7,14,21,1,64,128,192,6,0.360473723,0.391615332,2103.12185,0.001707883,0.203296706
4451,13504761,63,43,106,3,870,457,1327,6,0.39625712,0.450136893,8870.041958,0.01088178,0.088893764
4586,13412790,52,49,101,5,638,603,1241,6,0.419465978,0.473956194,7766.622705,0.007719546,0.094130091
4769,14115037,11,8,19,5,89,55,144,7,0.347608851,0.379793683,474.7721791,0.001879001,0.100000001
4860,10928685,4,7,11,4,32,49,81,6,0.331518039,0.354688569,593.9892681,0.001316072,0.214285716
4952,13691617,21,9,30,3,160,74,234,6,0.354956268,0.381827515,320.3061381,0.002746493,0.139601141
4983,13208997,10,7,17,3,79,57,136,6,0.324666667,0.35054757,222.6444175,0.001584019,0.012820513
5054,12933735,4,9,13,1,36,80,116,6,0.299876847,0.326317591,364.2553153,8.85E-04,0.305555552
5212,13138598,32,41,73,3,304,480,784,5,0.425327511,0.475085558,7235.279386,0.006634472,0.104651161
5228,12837187,6,11,17,3,37,74,111,6,0.319134993,0.346235455,74.20624376,9.68E-04,0.126373634
5514,13553754,3,19,22,5,40,124,164,6,0.393694422,0.430732375,118.8116243,6.40E-04,0.236842111
5545,12941098,4,6,10,1,39,49,88,6,0.317885117,0.344147844,19.44892675,9.20E-04,0.547619045
5547,10839831,8,10,18,4,79,90,169,6,0.324018629,0.349794661,386.9282203,0.001531711,0.13636364
5721,4434631,20,26,46,5,178,246,424,6,0.402812242,0.446338125,2042.414629,0.003728322,0.132258058
5910,12201416,51,50,101,5,526,521,1047,6,0.442727273,0.494661191,9446.434574,0.008119824,0.12214452
6013,13431230,4,13,17,5,38,101,139,6,0.384372534,0.418377823,527.2853654,0.001148415,0.25
6026,13088040,9,3,12,3,67,21,88,6,0.287146226,0.305030801,69.16302622,0.001936199,0.125
6315,1763471,8,10,18,5,57,64,121,6,0.327725437,0.353353867,291.2060369,0.00146737,0.128205135
6444,12987985,14,13,27,3,83,96,179,5,0.369499241,0.403114305,1486.562606,0.002434402,0.218421057
6467,13496118,53,48,101,3,819,843,1662,6,0.40549542,0.460506502,8933.293147,0.009129948,0.086811855
6617,2969587,24,19,43,1,178,156,334,6,0.35341074,0.389459274,2075.603943,0.003285743,0.071428575
6720,2460842,18,7,25,1,166,44,210,5,0.358879882,0.383025325,328.7336161,0.003929294,0.33006537
7151,12371950,7,9,16,1,64,66,130,6,0.327946128,0.352703628,221.4609807,0.001203424,0.145454541
7180,3950380,2,2,4,5,17,18,35,7,0.273441887,0.289376161,2058.703115,8.96E-04,0
7315,11445752,6,10,16,3,35,79,114,6,0.35315446,0.384770705,133.168288,0.001526839,0.128787875
7321,2841050,10,14,24,1,92,125,217,6,0.348604152,0.384017796,1541.043947,0.001737287,0.032967035
7598,13248187,15,10,25,3,118,68,186,7,0.326845638,0.352586291,641.6790802,0.002403981,0.108333334
7601,10431618,10,22,32,1,67,200,267,5,0.3896,0.431040383,2495.179018,0.002456236,0.046666667
7647,11116033,14,16,30,3,101,126,227,5,0.384676145,0.419301848,672.7894623,0.002618866,0.208333328
7890,14224003,14,31,45,5,130,294,424,6,0.390537289,0.437268994,514.0906548,0.002115572,0.307459682
8087,13641105,7,9,16,5,64,87,151,6,0.357562408,0.388809035,220.8659166,0.001541657,0.411111116
8195,12941123,6,11,17,1,48,85,133,6,0.365615616,0.393052704,1160.214843,0.001466239,0.189393938
8317,12265968,13,9,22,1,92,69,161,6,0.331292517,0.360951403,360.3949836,0.002684506,0.362637371
8557,13168297,17,33,50,3,172,321,493,6,0.403145695,0.448494182,3520.573442,0.003432454,0.118371211
8560,4725525,6,10,16,1,39,93,132,5,0.373466258,0.402635181,397.5510378,0.001242703,0.236363634
8579,10385967,18,21,39,1,145,126,271,6,0.379579111,0.41724846,1191.726165,0.003448368,0.229064032
8775,4645351,6,8,14,3,50,62,112,6,0.355215171,0.381416838,195.8123525,0.001322619,0.361111104
8822,4060915,16,14,30,3,113,96,209,6,0.379875195,0.412833676,902.5631165,0.002765144,0.300000012
8894,1399089,9,15,24,1,61,119,180,6,0.37006079,0.404414784,1870.072549,0.002146953,0.029411765
8940,12519025,11,8,19,1,88,53,141,6,0.347608851,0.373271732,188.8152519,0.00226718,0.290476203
8993,4424096,52,50,102,1,615,566,1181,6,0.40515807,0.465092402,11096.47346,0.009709985,0.083436854
9085,14545705,21,10,31,5,203,70,273,7,0.347113329,0.378595874,998.5832961,0.004093602,0.080086581
9187,13624869,22,42,64,3,327,685,1012,6,0.413061917,0.466529774,3372.106684,0.003367441,0.12020202
9220,12950475,8,12,20,3,59,99,158,6,0.345390071,0.374640657,1805.477654,0.001758427,0.151515156
9249,11967603,3,7,10,3,23,49,72,7,0.307061791,0.331064828,192.9252341,6.40E-04,0.214285716
9329,13222091,18,11,29,3,207,103,310,6,0.351878613,0.3816564,721.9283161,0.002363203,0.047619049
9538,12953867,21,18,39,1,220,130,350,6,0.359675037,0.394147844,1597.586558,0.00419764,0.210826218
9703,13259214,6,9,15,3,37,67,104,6,0.344169611,0.372861054,277.4932423,0.001251699,0.037878789
9850,10578904,28,28,56,3,252,206,458,6,0.372039725,0.415400411,3197.524486,0.004513456,0.056187768
10252,13623686,22,10,32,3,183,59,242,6,0.325100134,0.353285421,976.9278715,0.003195127,0.104743086
10254,2598435,14,14,28,1,115,102,217,6,0.337725381,0.369267625,1463.656533,0.004245647,0.0125
10357,13900848,29,66,95,5,305,1089,1394,5,0.438343834,0.503524983,8046.030537,0.004535141,0.066019788
10526,4776150,54,25,79,1,552,203,755,6,0.360207101,0.400068446,6397.170236,0.009985598,0.083116882
10565,4318746,9,12,21,1,59,81,140,6,0.337024221,0.369644079,952.1800136,0.002288368,0.100000001
10791,4127318,5,3,8,4,32,22,54,6,0.306289308,0.325290897,353.2283045,0.001264062,0
10895,12994990,7,5,12,3,78,54,132,6,0.320184089,0.341820671,82.72986947,0.001143187,0.107142858
10973,14143277,15,20,35,5,136,173,309,6,0.37432744,0.414544832,4875.83091,0.003086351,0.028947368
11116,14442195,6,8,14,5,51,64,115,6,0.351624549,0.376591376,315.2687231,0.001163091,0.322222233
11233,3384330,1,4,5,2,10,35,45,7,0.270705948,0.289894397,44.0681669,7.05E-04,0
11263,12113216,42,20,62,1,360,195,555,6,0.37006079,0.408008214,5148.37996,0.007853232,0.071881607
11385,10080576,4,5,9,4,36,57,93,6,0.30361596,0.323305955,230.6497643,0.001195015,0.349999994
11394,12979344,5,11,16,1,30,86,116,6,0.350611951,0.378473648,993.1237047,0.001203032,0.063636363
11403,13729850,13,4,17,3,102,28,130,6,0.327946128,0.349247091,114.4608188,0.003489688,0.230769232
11585,12917776,43,39,82,1,428,354,782,5,0.400164339,0.448425736,8832.350264,0.008500638,0.100628927
11662,13634928,15,15,30,5,145,179,324,6,0.382260597,0.416735113,259.3299774,0.002503457,0.265789479
11671,12991594,6,9,15,3,52,83,135,6,0.352643012,0.384017796,526.2632647,0.001290397,0.166666672
11781,10103892,24,28,52,1,254,474,728,5,0.391794047,0.434052019,2953.725403,0.005657911,0.19758065
12108,14499369,9,16,25,5,110,155,265,6,0.371755725,0.409137577,1444.72705,0.001962939,0.176470593
12141,13084208,16,31,47,3,115,323,438,6,0.412013536,0.45687885,2287.677205,0.003273135,0.168817207
12207,11893344,8,14,22,3,90,159,249,6,0.365615616,0.397672827,723.2629647,0.001351382,0.126373634
12281,12938861,5,13,18,1,39,88,127,6,0.334478022,0.364647502,277.1556749,0.00110419,0.104761906
12343,3386704,13,0,13,1,109,0,109,0,0,0,0,0.002852782,0.230769232
12451,13229054,5,8,13,5,34,63,97,6,0.356776557,0.387303217,996.2120321,0.001298524,0.305555552
12833,14722378,14,10,24,5,142,84,226,7,0.298956415,0.325070891,186.8836205,0.00257326,0.22794117
12839,13204511,11,3,14,3,79,25,104,6,0.286808009,0.301813826,20.15115802,0.003137198,0.300000012
12997,10464863,5,10,15,3,47,93,140,6,0.320184089,0.34945243,734.0637995,0.001441231,0.144444451
13438,14483651,16,12,28,5,148,110,258,6,0.373752878,0.408863792,689.8082674,0.003116505,0.237499997
13513,12342583,7,7,14,1,47,73,120,6,0.308814204,0.335352498,657.0087512,0.00190513,0.023809524
13529,12954389,4,15,19,4,21,110,131,6,0.367824773,0.401540041,723.1652029,8.64E-04,0.037500001
13828,10346140,22,32,54,3,220,389,609,5,0.408900084,0.454893908,3519.554032,0.004469627,0.112689391
14089,12916813,6,11,17,1,62,103,165,6,0.331743869,0.361088296,576.460238,0.001433305,0.363636374
14128,12776837,12,7,19,3,78,44,122,6,0.342475387,0.36724846,187.3221414,0.002272071,0.285714298
14174,3257723,94,75,169,3,1248,789,2037,5,0.472356935,0.53449692,20406.19164,0.016211595,0.106418625
14305,13032905,26,23,49,5,171,176,347,5,0.400493421,0.439938398,3733.275407,0.004617211,0.127627626
14606,4380397,22,26,48,1,152,225,377,6,0.359940872,0.401813826,4615.273271,0.0045775,0.122983873
14761,13671665,25,21,46,3,304,272,576,6,0.373180077,0.414168378,1499.737111,0.004237048,0.185057476
14825,14064102,6,8,14,3,36,58,94,7,0.336325967,0.366686223,177.077606,0.00114455,0.208333328
15123,14376550,13,10,23,5,116,74,190,6,0.336558397,0.363483915,204.2737316,0.002274904,0.051470589
