Source,Target,Type,id,weight
97.0,845.0,Directed,693,8.0
97.0,97.0,Directed,755,9.0
97.0,24171.0,Directed,833,11.0
97.0,11585.0,Directed,860,14.0
97.0,2558.0,Directed,868,18.0
97.0,19146.0,Directed,1096,7.0
97.0,10526.0,Directed,1113,10.0
97.0,12839.0,Directed,1141,8.0
115.0,845.0,Directed,1271,8.0
115.0,21262.0,Directed,1297,9.0
115.0,20114.0,Directed,1306,7.0
115.0,8993.0,Directed,1312,8.0
115.0,115.0,Directed,1321,19.0
115.0,1720.0,Directed,1339,8.0
115.0,21717.0,Directed,1342,8.0
115.0,23778.0,Directed,1361,11.0
115.0,11585.0,Directed,1375,11.0
115.0,25044.0,Directed,1409,9.0
115.0,22652.0,Directed,1448,9.0
115.0,7151.0,Directed,1457,10.0
115.0,18245.0,Directed,1462,8.0
115.0,10526.0,Directed,1520,7.0
115.0,23122.0,Directed,1524,7.0
115.0,17940.0,Directed,1543,7.0
115.0,19553.0,Directed,1556,8.0
115.0,15973.0,Directed,1560,9.0
121.0,6467.0,Directed,1601,8.0
121.0,4451.0,Directed,1611,37.0
121.0,11662.0,Directed,1660,8.0
121.0,2230.0,Directed,1662,16.0
121.0,19146.0,Directed,1689,8.0
167.0,10526.0,Directed,2023,7.0
167.0,8993.0,Directed,2053,10.0
277.0,6467.0,Directed,2905,8.0
293.0,2608.0,Directed,3082,8.0
293.0,24148.0,Directed,3100,7.0
390.0,11585.0,Directed,3731,7.0
390.0,25044.0,Directed,3774,13.0
390.0,10526.0,Directed,3793,8.0
390.0,2558.0,Directed,3866,9.0
390.0,16422.0,Directed,3904,9.0
523.0,16811.0,Directed,4517,9.0
523.0,10252.0,Directed,4628,9.0
523.0,9850.0,Directed,4673,10.0
523.0,20991.0,Directed,4822,9.0
523.0,2558.0,Directed,4850,8.0
523.0,14174.0,Directed,4876,12.0
523.0,18245.0,Directed,4913,7.0
523.0,19146.0,Directed,5023,29.0
523.0,17940.0,Directed,5026,19.0
588.0,15359.0,Directed,5409,19.0
588.0,19583.0,Directed,5419,15.0
592.0,1860.0,Directed,5597,7.0
736.0,10526.0,Directed,6466,7.0
736.0,23778.0,Directed,6489,7.0
736.0,11585.0,Directed,6490,8.0
751.0,7370.0,Directed,6575,7.0
751.0,8087.0,Directed,6680,12.0
751.0,18526.0,Directed,6769,11.0
751.0,5212.0,Directed,6781,11.0
751.0,7130.0,Directed,6792,7.0
751.0,15973.0,Directed,6809,8.0
751.0,18956.0,Directed,6834,12.0
845.0,17599.0,Directed,7771,10.0
845.0,14761.0,Directed,7774,11.0
845.0,20811.0,Directed,7776,9.0
845.0,3258.0,Directed,7787,7.0
845.0,17238.0,Directed,7820,7.0
845.0,845.0,Directed,7829,9.0
845.0,22045.0,Directed,7866,11.0
845.0,2101.0,Directed,7919,9.0
845.0,11662.0,Directed,8067,12.0
845.0,13438.0,Directed,8195,10.0
845.0,7130.0,Directed,8247,7.0
845.0,15973.0,Directed,8261,12.0
845.0,25208.0,Directed,8265,8.0
845.0,7647.0,Directed,8270,9.0
856.0,19583.0,Directed,8377,14.0
856.0,9329.0,Directed,8465,8.0
856.0,8557.0,Directed,8564,8.0
919.0,19203.0,Directed,8990,7.0
919.0,10526.0,Directed,9026,7.0
919.0,23778.0,Directed,9044,8.0
919.0,2558.0,Directed,9048,12.0
953.0,10526.0,Directed,9302,15.0
953.0,11263.0,Directed,9325,10.0
953.0,2558.0,Directed,9365,7.0
953.0,18245.0,Directed,9406,9.0
955.0,845.0,Directed,9502,9.0
955.0,955.0,Directed,9508,11.0
955.0,10252.0,Directed,9533,11.0
1086.0,6467.0,Directed,10371,21.0
1086.0,1720.0,Directed,10491,9.0
1086.0,24171.0,Directed,10504,7.0
1086.0,2558.0,Directed,10524,8.0
1086.0,14174.0,Directed,10609,13.0
1086.0,1860.0,Directed,10636,10.0
1086.0,19146.0,Directed,10697,14.0
1086.0,17940.0,Directed,10700,16.0
1086.0,15123.0,Directed,10708,7.0
1086.0,18750.0,Directed,10727,7.0
